timestamp,metric,service,value,unit,signal
2026-01-15T11:55:00+00:00,service_error_rate,payments-consumer,0.01,ratio,impact
2026-01-15T11:55:00+00:00,service_p95_latency_ms,payments-consumer,180,milliseconds,impact
2026-01-15T11:55:00+00:00,consumer_lag_spike,payments-consumer,11.4,score,expected_evidence
2026-01-15T11:55:00+00:00,deserialize_errors,payments-consumer,17.57,score,expected_evidence
2026-01-15T11:55:00+00:00,stable_broker_cpu,payments-consumer,20.55,score,expected_evidence
2026-01-15T11:57:00+00:00,service_error_rate,payments-consumer,0.0226,ratio,impact
2026-01-15T11:57:00+00:00,service_p95_latency_ms,payments-consumer,1037,milliseconds,impact
2026-01-15T11:57:00+00:00,consumer_lag_spike,payments-consumer,32.13,score,expected_evidence
2026-01-15T11:57:00+00:00,deserialize_errors,payments-consumer,39.34,score,expected_evidence
2026-01-15T11:57:00+00:00,stable_broker_cpu,payments-consumer,57.02,score,expected_evidence
2026-01-15T11:59:00+00:00,service_error_rate,payments-consumer,0.0396,ratio,impact
2026-01-15T11:59:00+00:00,service_p95_latency_ms,payments-consumer,2025,milliseconds,impact
2026-01-15T11:59:00+00:00,consumer_lag_spike,payments-consumer,50.38,score,expected_evidence
2026-01-15T11:59:00+00:00,deserialize_errors,payments-consumer,82.89,score,expected_evidence
2026-01-15T11:59:00+00:00,stable_broker_cpu,payments-consumer,144.47,score,expected_evidence
2026-01-15T12:01:00+00:00,service_error_rate,payments-consumer,0.0509,ratio,impact
2026-01-15T12:01:00+00:00,service_p95_latency_ms,payments-consumer,2731,milliseconds,impact
2026-01-15T12:01:00+00:00,consumer_lag_spike,payments-consumer,42.87,score,expected_evidence
2026-01-15T12:01:00+00:00,deserialize_errors,payments-consumer,81.18,score,expected_evidence
2026-01-15T12:01:00+00:00,stable_broker_cpu,payments-consumer,139.64,score,expected_evidence
2026-01-15T12:03:00+00:00,service_error_rate,payments-consumer,0.063,ratio,impact
2026-01-15T12:03:00+00:00,service_p95_latency_ms,payments-consumer,4217,milliseconds,impact
2026-01-15T12:03:00+00:00,consumer_lag_spike,payments-consumer,80.48,score,expected_evidence
2026-01-15T12:03:00+00:00,deserialize_errors,payments-consumer,172.53,score,expected_evidence
2026-01-15T12:03:00+00:00,stable_broker_cpu,payments-consumer,239.7,score,expected_evidence
2026-01-15T12:05:00+00:00,service_error_rate,payments-consumer,0.0648,ratio,impact
2026-01-15T12:05:00+00:00,service_p95_latency_ms,payments-consumer,1265,milliseconds,impact
2026-01-15T12:05:00+00:00,consumer_lag_spike,payments-consumer,112.75,score,expected_evidence
2026-01-15T12:05:00+00:00,deserialize_errors,payments-consumer,219.58,score,expected_evidence
2026-01-15T12:05:00+00:00,stable_broker_cpu,payments-consumer,304.24,score,expected_evidence
2026-01-15T12:07:00+00:00,service_error_rate,payments-consumer,0.1003,ratio,impact
2026-01-15T12:07:00+00:00,service_p95_latency_ms,payments-consumer,5803,milliseconds,impact
2026-01-15T12:07:00+00:00,consumer_lag_spike,payments-consumer,94.95,score,expected_evidence
2026-01-15T12:07:00+00:00,deserialize_errors,payments-consumer,180.04,score,expected_evidence
2026-01-15T12:07:00+00:00,stable_broker_cpu,payments-consumer,206.96,score,expected_evidence
2026-01-15T12:09:00+00:00,service_error_rate,payments-consumer,0.1115,ratio,impact
2026-01-15T12:09:00+00:00,service_p95_latency_ms,payments-consumer,4537,milliseconds,impact
2026-01-15T12:09:00+00:00,consumer_lag_spike,payments-consumer,93.91,score,expected_evidence
2026-01-15T12:09:00+00:00,deserialize_errors,payments-consumer,240.95,score,expected_evidence
2026-01-15T12:09:00+00:00,stable_broker_cpu,payments-consumer,237.79,score,expected_evidence
2026-01-15T12:11:00+00:00,service_error_rate,payments-consumer,0.08,ratio,impact
2026-01-15T12:11:00+00:00,service_p95_latency_ms,payments-consumer,3598,milliseconds,impact
2026-01-15T12:11:00+00:00,consumer_lag_spike,payments-consumer,97.41,score,expected_evidence
2026-01-15T12:11:00+00:00,deserialize_errors,payments-consumer,356.19,score,expected_evidence
2026-01-15T12:11:00+00:00,stable_broker_cpu,payments-consumer,288.7,score,expected_evidence
2026-01-15T12:13:00+00:00,service_error_rate,payments-consumer,0.0919,ratio,impact
2026-01-15T12:13:00+00:00,service_p95_latency_ms,payments-consumer,7408,milliseconds,impact
2026-01-15T12:13:00+00:00,consumer_lag_spike,payments-consumer,125.01,score,expected_evidence
2026-01-15T12:13:00+00:00,deserialize_errors,payments-consumer,254.0,score,expected_evidence
2026-01-15T12:13:00+00:00,stable_broker_cpu,payments-consumer,418.27,score,expected_evidence
2026-01-15T12:15:00+00:00,service_error_rate,payments-consumer,0.0871,ratio,impact
2026-01-15T12:15:00+00:00,service_p95_latency_ms,payments-consumer,3898,milliseconds,impact
2026-01-15T12:15:00+00:00,consumer_lag_spike,payments-consumer,180.3,score,expected_evidence
2026-01-15T12:15:00+00:00,deserialize_errors,payments-consumer,190.39,score,expected_evidence
2026-01-15T12:15:00+00:00,stable_broker_cpu,payments-consumer,446.53,score,expected_evidence
2026-01-15T12:17:00+00:00,service_error_rate,payments-consumer,0.1136,ratio,impact
2026-01-15T12:17:00+00:00,service_p95_latency_ms,payments-consumer,5545,milliseconds,impact
2026-01-15T12:17:00+00:00,consumer_lag_spike,payments-consumer,155.57,score,expected_evidence
2026-01-15T12:17:00+00:00,deserialize_errors,payments-consumer,363.31,score,expected_evidence
2026-01-15T12:17:00+00:00,stable_broker_cpu,payments-consumer,420.93,score,expected_evidence
2026-01-15T12:19:00+00:00,service_error_rate,payments-consumer,0.087,ratio,impact
2026-01-15T12:19:00+00:00,service_p95_latency_ms,payments-consumer,5326,milliseconds,impact
2026-01-15T12:19:00+00:00,consumer_lag_spike,payments-consumer,117.0,score,expected_evidence
2026-01-15T12:19:00+00:00,deserialize_errors,payments-consumer,325.91,score,expected_evidence
2026-01-15T12:19:00+00:00,stable_broker_cpu,payments-consumer,266.63,score,expected_evidence
2026-01-15T12:21:00+00:00,service_error_rate,payments-consumer,0.1037,ratio,impact
2026-01-15T12:21:00+00:00,service_p95_latency_ms,payments-consumer,8879,milliseconds,impact
2026-01-15T12:21:00+00:00,consumer_lag_spike,payments-consumer,168.93,score,expected_evidence
2026-01-15T12:21:00+00:00,deserialize_errors,payments-consumer,199.13,score,expected_evidence
2026-01-15T12:21:00+00:00,stable_broker_cpu,payments-consumer,314.64,score,expected_evidence
2026-01-15T12:23:00+00:00,service_error_rate,payments-consumer,0.0955,ratio,impact
2026-01-15T12:23:00+00:00,service_p95_latency_ms,payments-consumer,8209,milliseconds,impact
2026-01-15T12:23:00+00:00,consumer_lag_spike,payments-consumer,168.99,score,expected_evidence
2026-01-15T12:23:00+00:00,deserialize_errors,payments-consumer,250.16,score,expected_evidence
2026-01-15T12:23:00+00:00,stable_broker_cpu,payments-consumer,287.27,score,expected_evidence
2026-01-15T12:25:00+00:00,service_error_rate,payments-consumer,0.115,ratio,impact
2026-01-15T12:25:00+00:00,service_p95_latency_ms,payments-consumer,3870,milliseconds,impact
2026-01-15T12:25:00+00:00,consumer_lag_spike,payments-consumer,92.8,score,expected_evidence
2026-01-15T12:25:00+00:00,deserialize_errors,payments-consumer,270.87,score,expected_evidence
2026-01-15T12:25:00+00:00,stable_broker_cpu,payments-consumer,310.88,score,expected_evidence
